GEO2010,1970,1980,1990,2000,2010,seqC1,seqC2
06059087002,9,1,1,1,6,3,7
06059087805,1,1,1,1,6,2,7
06059087101,5,1,5,1,3,4,1
06059099502,7,7,7,5,9,3,6
06059088601,1,1,1,1,7,2,7
06059074005,1,9,4,4,1,5,2
06059074006,1,5,1,1,3,5,2
06059074107,5,1,7,1,1,5,4
06059074200,3,3,4,4,4,2,10
06059074300,3,4,4,4,1,3,10
06059063908,9,1,1,1,3,3,7
06059074102,9,9,4,4,3,3,7
06059074106,1,9,1,1,1,3,2
06059074108,9,4,4,4,3,3,10
06059074109,9,4,4,4,1,3,10
06059074110,9,4,9,9,4,5,1
06059099702,9,9,3,3,9,3,5
06059099703,9,9,9,3,7,3,5
06059099802,1,4,1,1,9,5,2
06059099803,1,4,4,1,9,5,2
06059001404,3,9,3,4,9,4,1
06059011720,4,1,10,4,9,4,2
06059001801,1,10,1,1,9,5,2
06059011712,1,1,1,1,9,2,7
06059089106,9,9,3,1,4,5,1
06059086801,3,9,3,3,1,5,1
06059086802,9,9,1,4,3,5,1
06059110003,9,9,3,3,9,3,5
06059110007,9,9,6,6,1,3,3
06059074403,1,10,10,10,1,3,9
06059074405,1,10,10,10,4,3,9
06059074406,1,10,4,10,4,4,2
06059074407,1,1,1,10,10,2,7
06059074408,1,1,1,10,1,3,7
06059074501,10,10,10,4,4,2,9
06059042206,5,5,9,6,6,3,4
06059042310,5,5,9,9,9,2,1
06059042311,5,9,9,6,9,5,1
06059042312,5,9,9,9,9,2,1
06059074701,4,4,4,4,1,2,10
06059074802,4,4,4,4,1,2,10
06059074803,9,4,4,4,4,2,10
06059074805,10,4,10,4,1,4,2
06059074806,10,4,4,4,1,3,10
06059088802,1,1,9,4,6,5,7
06059075201,4,4,4,4,3,2,10
06059089004,4,9,4,4,3,5,2
06059088502,9,1,3,4,1,4,1
06059088501,1,1,1,4,5,3,7
06059076103,1,1,1,1,4,2,7
06059088402,1,1,1,1,4,2,7
06059011708,9,5,1,1,9,5,2
06059001705,6,9,9,9,1,3,1
06059001602,9,9,6,6,3,3,3
06059088302,3,3,3,3,1,2,5
06059021810,9,9,9,9,9,1,5
06059110115,9,9,9,3,3,2,5
06059001101,9,9,3,3,9,3,5
06059086303,5,1,1,1,4,3,7
06059076102,1,1,1,1,4,2,7
06059099903,9,9,4,4,9,3,7
06059099512,7,7,7,5,9,3,6
06059099510,7,7,7,7,9,2,6
06059074502,1,4,4,4,4,2,10
06059074601,3,3,4,4,3,3,7
06059074602,3,4,4,4,4,2,10
06059074801,4,4,4,4,1,2,10
06059074901,4,4,4,4,10,2,10
06059074902,4,4,4,4,4,1,10
06059042315,5,9,9,9,1,3,1
06059042324,5,9,5,6,6,5,4
06059042326,5,9,5,9,6,4,4
06059088901,9,9,4,4,4,2,10
06059088903,9,6,4,4,3,5,2
06059088905,9,9,4,3,3,3,1
06059099202,9,9,9,4,10,3,5
06059011721,4,1,1,1,6,3,7
06059021916,9,9,9,9,6,2,5
06059087106,1,1,1,1,3,2,7
06059001503,9,3,3,3,3,2,5
06059088403,9,9,9,9,6,2,5
06059110111,9,9,9,3,3,2,5
06059087300,1,10,10,10,6,3,9
06059110301,9,9,9,3,5,3,5
06059110110,9,9,1,1,3,3,7
06059099509,7,7,7,7,1,2,6
06059088201,9,3,3,3,1,3,5
06059086803,1,1,1,1,3,2,7
06059088106,1,1,1,1,9,2,7
06059087902,4,4,4,4,7,2,10
06059087803,1,10,10,10,7,3,9
06059075002,10,10,10,10,1,2,9
06059075003,7,1,10,10,4,5,2
06059075004,7,1,10,10,1,5,2
06059075100,3,3,1,1,10,3,7
06059075202,3,4,4,4,4,2,10
06059075303,6,6,3,3,1,3,3
06059042332,5,5,9,9,6,3,1
06059099204,9,9,9,3,3,2,5
06059099212,9,1,1,1,3,3,7
06059099214,9,9,9,3,3,2,5
06059087503,1,1,1,1,6,2,7
06059088401,9,9,3,3,1,3,5
06059099504,9,9,6,6,9,3,3
06059110304,9,9,3,3,9,3,5
06059011718,9,9,9,3,9,3,5
06059110605,9,9,9,9,9,1,5
06059087802,4,1,1,1,1,2,7
06059088203,1,9,1,1,1,3,2
06059088104,3,9,1,1,3,5,2
06059088105,3,9,3,3,3,3,5
06059075301,5,1,1,1,10,3,7
06059075401,3,3,3,3,10,2,5
06059075403,5,1,1,1,4,3,7
06059075404,5,1,1,1,1,2,7
06059075405,5,1,3,3,1,5,1
06059075504,1,9,9,3,4,5,1
06059075505,1,1,1,1,4,2,7
06059042338,5,5,5,9,5,3,4
06059099220,9,9,5,9,6,5,1
06059099224,9,9,9,3,3,2,5
06059099225,9,9,9,3,6,3,5
06059001402,9,9,9,3,9,3,5
06059001202,3,1,4,4,6,5,2
06059001505,9,9,9,3,6,3,5
06059001903,3,3,3,3,9,2,5
06059088902,9,9,4,4,3,3,7
06059099904,1,1,1,1,9,2,7
06059088101,1,9,9,9,3,3,1
06059110401,9,3,3,3,9,3,5
06059110606,4,1,1,10,9,5,2
06059001802,1,1,1,1,3,2,7
06059099906,9,9,3,3,1,3,5
06059110604,9,9,9,3,9,3,5
06059110109,9,9,9,9,1,2,5
06059110201,9,6,3,3,5,5,1
06059110015,9,1,1,3,9,5,1
06059075506,9,9,3,3,3,2,5
06059075507,9,1,1,1,4,3,7
06059075512,1,1,1,1,4,2,7
06059075513,1,1,1,1,10,2,7
06059075514,1,1,10,1,1,3,1
06059075515,1,1,1,5,4,3,7
06059075604,6,9,6,6,4,5,4
06059075606,6,9,6,6,3,5,4
06059099226,9,9,9,9,1,2,5
06059099227,9,9,9,9,3,2,5
06059099229,5,9,9,9,3,3,1
06059099230,5,9,9,9,3,3,1
06059099231,9,9,9,6,3,3,5
06059088701,1,1,1,1,7,2,7
06059089003,4,9,4,4,3,5,2
06059011716,9,5,9,9,9,3,1
06059001301,9,1,1,1,6,3,7
06059001201,3,6,4,4,6,5,2
06059001303,4,1,9,9,9,3,1
06059001304,4,1,1,1,6,3,7
06059086405,9,1,4,4,3,5,2
06059086502,4,4,4,4,3,2,10
